; Plug and Play device IDs
; All lines beginning with PNPxxxx are interpreted
; as device ID descriptions.  Begin comment lines with semicolon (;)

PNP0000 	AT Interrupt Controller
PNP0F0E 	Microsoft Compatible PS/2 Mouse
PNP0F0F 	Microsoft Compatible Serial BallPoint Mouse
PNP0F10 	Texas Instruments Quick Port Mouse
PNP0F11 	Microsoft Compatible Bus Mouse
PNP0F12 	Logitech PS/2 Mouse
PNP0F13 	PS/2 Port for PS/2 Mice
PNP0F14 	Microsoft Kids Mouse
PNP0F15 	Logitech bus mouse
PNP0F16 	Logitech SWIFT device
PNP0F17 	Logitech compatible serial mouse
PNP0F18 	Logitech compatible bus mouse
PNP0F19 	Logitech compatible PS/2 Mouse
PNP0F1A 	Logitech compatible SWIFT Device
PNP0F1B 	HP Omnibook Mouse
PNP0F1C 	Compaq LTE Trackball PS/2 Mouse
PNP0F1D 	Compaq LTE Trackball Serial Mouse
PNP0F1E 	Microsoft Kids Trackball Mouse
PNP0F1F 	Reserved by Microsoft Input Device Group
PNP0F20 	Reserved by Microsoft Input Device Group
PNP0F21 	Reserved by Microsoft Input Device Group
PNP0F22 	Reserved by Microsoft Input Device Group
PNP0FFF 	Reserved by Microsoft Systems
PNP8001 	Novell/Anthem NE3200
PNP8004 	Compaq NE3200
PNP8006 	Intel EtherExpress/32
PNP8008 	HP EtherTwist EISA LAN Adapter/32 (HP27248A)
PNP8065 	Ungermann-Bass NIUps or NIUps/EOTP
PNP8072 	DEC (DE211) EtherWorks MC/TP
PNP8073 	DEC (DE212) EtherWorks MC/TP_BNC
PNP8078 	DCA 10 Mb MCA
PNP8074 	HP MC LAN Adapter/16 TP (PC27246)
PNP80C9 	IBM Token Ring
PNP80CA 	IBM Token Ring II
PNP80CB 	IBM Token Ring II/Short
PNP80CC 	IBM Token Ring 4/16Mbs
PNP80D3 	Novell/Anthem NE1000
PNP80D4 	Novell/Anthem NE2000
PNP80D5 	NE1000 Compatible
PNP80D6 	NE2000 Compatible
PNP80D7 	Novell/Anthem NE1500T
PNP80D8 	Novell/Anthem NE2100
PNP80DD 	SMC ARCNETPC
PNP80DE 	SMC ARCNET PC100, PC200
PNP80DF 	SMC ARCNET PC110, PC210, PC250
PNP80E0 	SMC ARCNET PC130/E
PNP80E1 	SMC ARCNET PC120, PC220, PC260
PNP80E2 	SMC ARCNET PC270/E
PNP80E5 	SMC ARCNET PC600W, PC650W
PNP80E7 	DEC DEPCA
PNP80E8 	DEC (DE100) EtherWorks LC
PNP80E9 	DEC (DE200) EtherWorks Turbo
PNP80EA 	DEC (DE101) EtherWorks LC/TP
PNP80EB 	DEC (DE201) EtherWorks Turbo/TP
PNP80EC 	DEC (DE202) EtherWorks Turbo/TP_BNC
PNP80ED 	DEC (DE102) EtherWorks LC/TP_BNC
PNP80EE 	DEC EE101 (Built-In)
PNP80EF 	DECpc 433 WS (Built-In)
PNP80F1 	3Com EtherLink Plus
PNP80F3 	3Com EtherLink II or IITP (8 or 16-bit)
PNP80F4 	3Com TokenLink
PNP80F6 	3Com EtherLink 16
PNP80F7 	3Com EtherLink III
PNP80FB 	Thomas Conrad TC6045
PNP80FC 	Thomas Conrad TC6042
PNP80FD 	Thomas Conrad TC6142
PNP80FE 	Thomas Conrad TC6145
PNP80FF 	Thomas Conrad TC6242
PNP8100 	Thomas Conrad TC6245
PNP8105 	DCA 10 Mb
PNP8106 	DCA 10 Mb Fiber Optic
PNP8107 	DCA 10 Mb Twisted Pair
PNP8113 	Racal NI6510
PNP811C 	Ungermann-Bass NIUpc
PNP8120 	Ungermann-Bass NIUpc/EOTP
PNP8123 	SMC StarCard PLUS (WD/8003S)
PNP8124 	SMC StarCard PLUS With On Board Hub (WD/8003SH)
PNP8125 	SMC EtherCard PLUS (WD/8003E)
PNP8126 	SMC EtherCard PLUS With Boot ROM Socket (WD/8003EBT)
PNP8127 	SMC EtherCard PLUS With Boot ROM Socket (WD/8003EB)
PNP8128 	SMC EtherCard PLUS TP (WD/8003WT)
PNP812A 	SMC EtherCard PLUS 16 With Boot ROM Socket (WD/8013EBT)
PNP812D 	Intel EtherExpress 16 or 16TP
PNP812F 	Intel TokenExpress 16/4
PNP8130 	Intel TokenExpress MCA 16/4
PNP8132 	Intel EtherExpress 16 (MCA)
PNP8137 	Artisoft AE-1
PNP8138 	Artisoft AE-2 or AE-3
PNP8141 	Amplicard AC 210/XT
PNP8142 	Amplicard AC 210/AT
PNP814B 	Everex SpeedLink /PC16 (EV2027)
PNP8155 	HP PC LAN Adapter/8 TP (HP27245)
PNP8156 	HP PC LAN Adapter/16 TP (HP27247A)
PNP8157 	HP PC LAN Adapter/8 TL (HP27250)
PNP8158 	HP PC LAN Adapter/16 TP Plus (HP27247B)
PNP8159 	HP PC LAN Adapter/16 TL Plus (HP27252)
PNP815F 	National Semiconductor Ethernode *16AT
PNP8160 	National Semiconductor AT/LANTIC EtherNODE 16-AT3
PNP816A 	NCR Token-Ring 4 Mbs ISA
PNP816D 	NCR Token-Ring 16/4 Mbs ISA
PNP8191 	Olicom 16/4 Token-Ring Adapter
PNP81C3 	SMC EtherCard PLUS Elite (WD/8003EP)
PNP81C4 	SMC EtherCard PLUS 10T (WD/8003W)
PNP81C5 	SMC EtherCard PLUS Elite 16 (WD/8013EP)
PNP81C6 	SMC EtherCard PLUS Elite 16T (WD/8013W)
PNP81C7 	SMC EtherCard PLUS Elite 16 Combo (WD/8013EW or 8013EWC)
PNP81C8 	SMC EtherElite Ultra 16
PNP81E4 	Pure Data PDI9025-32 (Token Ring)
PNP81E6 	Pure Data PDI508+ (ArcNet)
PNP81E7 	Pure Data PDI516+ (ArcNet)
PNP81EB 	Proteon Token Ring (P1390)
PNP81EC 	Proteon Token Ring (P1392)
PNP81ED 	Proteon ISA Token Ring (1340)
PNP81EE 	Proteon ISA Token Ring (1342)
PNP81EF 	Proteon ISA Token Ring (1346)
PNP81F0 	Proteon ISA Token Ring (1347)
PNP81FF 	Cabletron E2000 Series DNI
PNP8200 	Cabletron E2100 Series DNI
PNP8209 	Zenith Data Systems Z-Note
PNP820A 	Zenith Data Systems NE2000 Compatible
PNP8213 	Xircom Pocket Ethernet II
PNP8214 	Xircom Pocket Ethernet I
PNP821D 	RadiSys EXM-10
PNP8227 	SMC 3000 Series
PNP8231 	Advanced Micro Devices AM2100/AM1500T
PNP8263 	Tulip NCC-16
PNP8277 	Exos 105
PNP828A 	Intel '595 based Ethernet
PNP828B 	TI2000-style Token Ring
PNP828C 	AMD PCNet Family cards
PNP828D 	AMD PCNet32 (VL version)
PNP82BD 	IBM PCMCIA-NIC
PNP8321 	DEC Ethernet (All Types)
PNP8323 	SMC EtherCard (All Types except 8013/A)
PNP8324 	ARCNET Compatible
PNP8326 	Thomas Conrad (All Arcnet Types)
PNP8327 	IBM Token Ring (All Types)
PNP8385 	Remote Network Access Driver
PNP8387 	RNA Point-to-point Protocol Driver
PNPA000 	Adaptec 154x compatible SCSI controller
PNPA001 	Adaptec 174x compatible SCSI controller
PNPA002 	Future Domain 16-700 compatible controller
PNPA003 	Panasonic proprietary CD-ROM adapter (SBPro/SB16)
PNPA01B 	Trantor 128 SCSI Controller
PNPA01D 	Trantor T160 SCSI Controller
PNPA01E 	Trantor T338 Parallel SCSI controller
PNPA01F 	Trantor T348 Parallel SCSI controller
PNPA020 	Trantor Media Vision SCSI controller
PNPA022 	Always IN-2000 SCSI controller
PNPA02B 	Sony proprietary CD-ROM controller
PNPA02D 	Trantor T13b 8-bit SCSI controller
PNPA02F 	Trantor T358 Parallel SCSI controller
PNPA030 	Mitsumi LU-005 Single Speed CD-ROM controller + drive
PNPA031 	Mitsumi FX-001 Single Speed CD-ROM controller + drive
PNPA032 	Mitsumi FX-001 Double Speed CD-ROM controller + drive
PNPB000 	Sound Blaster 1.5 Compatible sound device
PNPB001 	Sound Blaster 2.0 Compatible sound device
PNPB002 	Sound Blaster Pro Compatible sound device
PNPB003 	Sound Blaster 16  Compatible sound device
PNPB004 	Thunderboard compatible sound device
PNPB005 	Adlib-compatible FM synthesizer device
PNPB006 	MPU401 compatible
PNPB007 	Microsoft Windows Sound System compatible sound device
PNPB008 	Compaq Business Audio
PNPB009 	Plug&Play Microsoft Windows Sound System Device
PNPB00A 	MediaVision Pro Audio Spectrum (Trantor SCSI enabled, Thunder Chip Disabled)
PNPB00B 	MediaVision Pro Audio 3D
PNPB00C 	MusicQuest MQX-32M
PNPB00D 	MediaVision Pro Audio Spectrum Basic (No Trantor SCSI, Thunder Chip Enabled)
PNPB00E 	MediaVision Pro Audio Spectrum (Trantor SCSI enabled, Thunder Chip Enabled)
PNPB00F 	MediaVision Jazz-16 chipset (OEM Versions)
PNPB010 	Auravision VxP500 chipset - Orchid Videola
PNPB018 	MediaVision Pro Audio Spectrum 8-bit
PNPB019 	MediaVision Pro Audio Spectrum Basic (No Trantor SCSI, Thunder chip Disabled)
PNPB020 	Yamaha OPL3-compatible FM synthesizer device
PNPB02F 	Joystick/Game port
PNPC000 	Compaq 14400 Modem (TBD)
PNPC001 	Compaq 2400/9600 Modem (TBD)
PNPC100 	Modem - RS232, Generic, 9600, Regular
PNPC110 	Modem - RS232, Generic, 9600, VoiceView
PNPC101 	Modem - RS232, Generic, 14400, Regular
PNPC111 	Modem - RS232, Generic, 14400, VoiceView
PNPC102 	Modem - RS232, Generic, 28800, Regular
PNPC112 	Modem - RS232, Generic, 28800, VoiceView
PNPC103 	Modem - RS232, Generic, Any, Regular
PNPC113 	Modem - RS232, Generic, Any, VoiceView
PNPC104 	Modem - RS232, Enhanced, 9600, Regular
PNPC114 	Modem - RS232, Enhanced, 9600, VoiceView
PNPC105 	Modem - RS232, Enhanced, 14400, Regular
PNPC115 	Modem - RS232, Enhanced, 14400, VoiceView
PNPC106 	Modem - RS232, Enhanced, 28800, Regular
PNPC116 	Modem - RS232, Enhanced, 28800, VoiceView
PNPC107 	Modem - RS232, Enhanced, Any, Regular
PNPC117 	Modem - RS232, Enhanced, Any, VoiceView
PNPC108 	Modem - ISA, Generic, 9600, Regular
PNPC118 	Modem - ISA, Generic, 9600, VoiceView
PNPC109 	Modem - ISA, Generic, 14400, Regular
PNPC119 	Modem - ISA, Generic, 14400, VoiceView
PNPC10A 	Modem - ISA, Generic, 28800, Regular
PNPC11A 	Modem - ISA, Generic, 28800, VoiceView
PNPC10B 	Modem - ISA, Generic, Any, Regular
PNPC11B 	Modem - ISA, Generic, Any, VoiceView
PNPC10C 	Modem - ISA, Enhanced, 9600, Regular
PNPC11C 	Modem - ISA, Enhanced, 9600, VoiceView
PNPC10D 	Modem - ISA, Enhanced, 14400, Regular
PNPC11D 	Modem - ISA, Enhanced, 14400, VoiceView
PNPC10E 	Modem - ISA, Enhanced, 28800, Regular
PNPC11E 	Modem - ISA, Enhanced, 28800, VoiceView
PNPC10F 	Modem - ISA, Enhanced, Any, Regular
PNPC11F 	Modem - ISA, Enhanced, Any, VoiceView
PNPFFFF 	Unsupported device
